string,string
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
